Generation,Fitness
1 , 24.000
2 , 48.000
3 , 298.000
4 , 346.000
5 , 668.000
6 , 668.000
7 , 668.000
8 , 668.000
9 , 668.000
10 , 668.000
11 , 668.000
12 , 668.000
13 , 668.000
14 , 668.000
15 , 668.000
16 , 668.000
17 , 668.000
18 , 668.000
19 , 668.000
20 , 668.000
21 , 668.000
22 , 668.000
23 , 668.000
24 , 668.000
25 , 668.000
26 , 668.000
27 , 668.000
28 , 668.000
29 , 668.000
30 , 668.000
31 , 668.000
32 , 668.000
33 , 668.000
34 , 668.000
35 , 668.000
36 , 668.000
37 , 668.000
38 , 668.000
39 , 668.000
40 , 668.000
41 , 668.000
42 , 668.000
43 , 668.000
44 , 668.000
45 , 668.000
46 , 668.000
47 , 668.000
48 , 668.000
49 , 668.000
50 , 668.000
51 , 668.000
52 , 668.000
53 , 668.000
54 , 668.000
55 , 668.000
56 , 668.000
57 , 668.000
58 , 668.000
59 , 668.000
60 , 668.000
61 , 668.000
62 , 668.000
63 , 668.000
64 , 668.000
65 , 668.000
66 , 668.000
67 , 668.000
68 , 668.000
69 , 668.000
70 , 668.000
71 , 668.000
72 , 668.000
73 , 668.000
74 , 668.000
75 , 668.000
76 , 668.000
77 , 668.000
78 , 668.000
79 , 668.000
80 , 668.000
81 , 668.000
82 , 668.000
83 , 668.000
84 , 668.000
85 , 668.000
86 , 668.000
87 , 668.000
88 , 668.000
89 , 668.000
90 , 668.000
91 , 668.000
92 , 668.000
93 , 668.000
94 , 668.000
95 , 668.000
96 , 668.000
97 , 668.000
98 , 668.000
99 , 668.000
100 , 668.000
101 , 668.000
102 , 668.000
103 , 668.000
104 , 668.000
105 , 668.000
106 , 668.000
107 , 668.000
108 , 668.000
109 , 668.000
110 , 668.000
111 , 668.000
112 , 668.000
113 , 668.000
114 , 668.000
115 , 668.000
116 , 668.000
117 , 668.000
118 , 668.000
119 , 668.000
120 , 668.000
121 , 668.000
122 , 668.000
123 , 668.000
124 , 668.000
125 , 668.000
126 , 668.000
127 , 668.000
128 , 668.000
129 , 668.000
130 , 668.000
131 , 668.000
132 , 668.000
133 , 668.000
134 , 668.000
135 , 668.000
136 , 668.000
137 , 668.000
138 , 668.000
139 , 668.000
140 , 668.000
141 , 668.000
142 , 668.000
143 , 668.000
144 , 668.000
145 , 668.000
146 , 668.000
147 , 668.000
148 , 668.000
