Generation,Fitness
1 , 72.000
2 , 72.000
3 , 96.000
4 , 96.000
5 , 96.000
6 , 96.000
7 , 96.000
8 , 96.000
9 , 120.000
10 , 168.000
11 , 168.000
12 , 168.000
13 , 168.000
14 , 168.000
15 , 168.000
16 , 168.000
17 , 286.000
18 , 596.000
19 , 596.000
20 , 596.000
21 , 596.000
22 , 966.000
23 , 966.000
24 , 966.000
25 , 966.000
26 , 966.000
27 , 966.000
28 , 966.000
29 , 966.000
30 , 966.000
31 , 966.000
32 , 966.000
33 , 966.000
34 , 966.000
35 , 966.000
36 , 966.000
37 , 966.000
38 , 966.000
39 , 966.000
40 , 966.000
41 , 966.000
42 , 966.000
43 , 966.000
44 , 966.000
45 , 966.000
46 , 966.000
47 , 966.000
48 , 966.000
49 , 966.000
50 , 966.000
51 , 966.000
52 , 966.000
53 , 966.000
54 , 966.000
55 , 966.000
56 , 966.000
57 , 966.000
58 , 966.000
59 , 966.000
60 , 966.000
61 , 966.000
62 , 966.000
63 , 966.000
64 , 966.000
65 , 966.000
66 , 966.000
67 , 966.000
68 , 966.000
69 , 966.000
70 , 966.000
71 , 966.000
72 , 966.000
73 , 966.000
74 , 966.000
75 , 966.000
76 , 966.000
77 , 966.000
78 , 966.000
79 , 966.000
80 , 966.000
81 , 966.000
82 , 966.000
83 , 966.000
84 , 966.000
85 , 966.000
86 , 966.000
87 , 966.000
88 , 966.000
89 , 966.000
90 , 966.000
91 , 966.000
92 , 966.000
93 , 966.000
94 , 966.000
95 , 966.000
96 , 966.000
97 , 966.000
98 , 966.000
99 , 966.000
100 , 966.000
101 , 966.000
102 , 966.000
103 , 966.000
104 , 966.000
105 , 966.000
106 , 966.000
107 , 966.000
108 , 966.000
109 , 966.000
110 , 966.000
111 , 966.000
112 , 966.000
113 , 966.000
114 , 966.000
115 , 966.000
116 , 966.000
117 , 966.000
118 , 966.000
119 , 966.000
120 , 966.000
121 , 966.000
122 , 966.000
123 , 966.000
124 , 966.000
125 , 966.000
126 , 966.000
127 , 966.000
128 , 966.000
129 , 966.000
130 , 966.000
131 , 966.000
132 , 966.000
133 , 966.000
134 , 966.000
135 , 966.000
136 , 966.000
137 , 966.000
138 , 966.000
139 , 966.000
140 , 966.000
141 , 966.000
142 , 966.000
143 , 966.000
144 , 966.000
145 , 966.000
146 , 966.000
147 , 966.000
148 , 966.000
149 , 966.000
150 , 966.000
151 , 966.000
152 , 966.000
153 , 966.000
154 , 966.000
155 , 966.000
156 , 966.000
157 , 966.000
158 , 966.000
159 , 966.000
160 , 966.000
161 , 966.000
162 , 966.000
163 , 966.000
164 , 966.000
165 , 966.000
166 , 966.000
167 , 966.000
168 , 966.000
169 , 966.000
170 , 966.000
171 , 966.000
172 , 966.000
173 , 966.000
174 , 966.000
175 , 966.000
176 , 966.000
177 , 966.000
178 , 966.000
179 , 966.000
180 , 966.000
181 , 966.000
182 , 966.000
183 , 966.000
184 , 966.000
185 , 966.000
186 , 966.000
187 , 966.000
188 , 966.000
189 , 966.000
190 , 966.000
191 , 966.000
192 , 966.000
193 , 966.000
194 , 966.000
195 , 966.000
196 , 966.000
197 , 966.000
198 , 966.000
199 , 966.000
200 , 966.000
201 , 966.000
202 , 966.000
203 , 966.000
204 , 966.000
205 , 966.000
206 , 966.000
207 , 966.000
208 , 966.000
209 , 966.000
210 , 966.000
211 , 966.000
212 , 966.000
213 , 966.000
214 , 966.000
215 , 966.000
216 , 966.000
217 , 966.000
218 , 966.000
219 , 966.000
220 , 966.000
221 , 966.000
222 , 966.000
223 , 966.000
224 , 966.000
225 , 966.000
226 , 966.000
227 , 966.000
228 , 966.000
229 , 966.000
230 , 966.000
231 , 966.000
232 , 966.000
233 , 966.000
234 , 966.000
235 , 966.000
236 , 966.000
237 , 966.000
238 , 966.000
239 , 966.000
240 , 966.000
241 , 966.000
242 , 966.000
243 , 966.000
244 , 966.000
245 , 966.000
246 , 966.000
247 , 966.000
248 , 966.000
249 , 966.000
250 , 966.000
251 , 966.000
252 , 966.000
253 , 966.000
254 , 966.000
255 , 966.000
256 , 966.000
257 , 966.000
258 , 966.000
259 , 966.000
260 , 966.000
261 , 966.000
262 , 966.000
263 , 966.000
264 , 966.000
265 , 966.000
266 , 966.000
267 , 966.000
268 , 966.000
269 , 966.000
270 , 966.000
271 , 966.000
272 , 966.000
273 , 966.000
274 , 966.000
275 , 966.000
276 , 966.000
277 , 966.000
278 , 966.000
279 , 966.000
280 , 966.000
281 , 966.000
282 , 966.000
283 , 966.000
284 , 966.000
285 , 966.000
286 , 966.000
287 , 966.000
288 , 966.000
289 , 966.000
290 , 966.000
291 , 966.000
292 , 966.000
293 , 966.000
294 , 966.000
295 , 966.000
296 , 966.000
297 , 966.000
298 , 966.000
299 , 966.000
300 , 966.000
301 , 966.000
302 , 966.000
303 , 966.000
304 , 966.000
305 , 966.000
306 , 966.000
307 , 966.000
308 , 966.000
309 , 966.000
310 , 966.000
311 , 966.000
312 , 966.000
313 , 966.000
314 , 966.000
315 , 966.000
316 , 966.000
317 , 966.000
318 , 966.000
319 , 966.000
320 , 966.000
321 , 966.000
322 , 966.000
323 , 966.000
324 , 966.000
325 , 966.000
326 , 966.000
327 , 966.000
328 , 966.000
329 , 966.000
330 , 966.000
331 , 966.000
332 , 966.000
333 , 966.000
334 , 966.000
335 , 966.000
336 , 966.000
337 , 966.000
338 , 966.000
339 , 966.000
340 , 966.000
341 , 966.000
342 , 966.000
343 , 966.000
344 , 966.000
345 , 966.000
346 , 966.000
347 , 966.000
348 , 966.000
349 , 966.000
350 , 966.000
351 , 966.000
352 , 966.000
353 , 966.000
354 , 966.000
355 , 966.000
356 , 966.000
357 , 966.000
358 , 966.000
359 , 966.000
360 , 966.000
361 , 966.000
362 , 966.000
363 , 966.000
364 , 966.000
365 , 966.000
366 , 966.000
367 , 966.000
368 , 966.000
369 , 966.000
370 , 966.000
371 , 966.000
372 , 966.000
373 , 966.000
374 , 966.000
375 , 966.000
376 , 966.000
377 , 966.000
378 , 966.000
379 , 966.000
380 , 966.000
381 , 966.000
382 , 966.000
383 , 966.000
384 , 966.000
385 , 966.000
386 , 966.000
387 , 966.000
388 , 966.000
389 , 966.000
390 , 966.000
391 , 966.000
392 , 966.000
393 , 966.000
394 , 966.000
395 , 966.000
396 , 966.000
397 , 966.000
398 , 966.000
399 , 966.000
400 , 966.000
401 , 966.000
402 , 966.000
403 , 966.000
404 , 966.000
405 , 966.000
406 , 966.000
407 , 966.000
408 , 966.000
409 , 966.000
410 , 966.000
411 , 966.000
412 , 966.000
413 , 966.000
414 , 966.000
415 , 966.000
416 , 966.000
417 , 966.000
418 , 966.000
419 , 966.000
420 , 966.000
421 , 966.000
422 , 966.000
423 , 966.000
424 , 966.000
425 , 966.000
426 , 966.000
427 , 966.000
428 , 966.000
429 , 966.000
430 , 966.000
431 , 966.000
432 , 966.000
433 , 966.000
434 , 966.000
435 , 966.000
436 , 966.000
437 , 966.000
438 , 966.000
439 , 966.000
440 , 966.000
441 , 966.000
442 , 966.000
443 , 966.000
444 , 966.000
445 , 966.000
446 , 966.000
447 , 966.000
448 , 966.000
449 , 966.000
450 , 966.000
451 , 966.000
452 , 966.000
453 , 966.000
454 , 966.000
455 , 966.000
456 , 966.000
457 , 966.000
458 , 966.000
459 , 966.000
460 , 966.000
461 , 966.000
462 , 966.000
463 , 966.000
464 , 966.000
465 , 966.000
466 , 966.000
467 , 966.000
468 , 966.000
469 , 966.000
470 , 966.000
471 , 966.000
472 , 966.000
473 , 966.000
474 , 966.000
475 , 966.000
476 , 966.000
477 , 966.000
478 , 966.000
479 , 966.000
480 , 966.000
481 , 966.000
482 , 966.000
483 , 966.000
484 , 966.000
485 , 966.000
486 , 966.000
487 , 966.000
488 , 966.000
489 , 966.000
490 , 966.000
491 , 966.000
492 , 966.000
493 , 966.000
494 , 966.000
495 , 966.000
496 , 966.000
497 , 966.000
498 , 966.000
499 , 966.000
500 , 966.000
501 , 966.000
502 , 966.000
503 , 966.000
504 , 966.000
505 , 966.000
506 , 966.000
507 , 966.000
508 , 966.000
509 , 966.000
510 , 966.000
511 , 966.000
512 , 966.000
513 , 966.000
514 , 966.000
515 , 966.000
516 , 966.000
517 , 966.000
518 , 966.000
519 , 966.000
520 , 966.000
521 , 966.000
522 , 966.000
523 , 966.000
524 , 966.000
525 , 966.000
526 , 966.000
527 , 966.000
528 , 966.000
529 , 966.000
530 , 966.000
531 , 966.000
532 , 966.000
533 , 966.000
534 , 966.000
535 , 966.000
536 , 966.000
537 , 966.000
538 , 966.000
539 , 966.000
540 , 966.000
541 , 966.000
542 , 966.000
543 , 966.000
544 , 966.000
545 , 966.000
546 , 966.000
547 , 966.000
548 , 966.000
549 , 966.000
550 , 966.000
551 , 966.000
552 , 966.000
553 , 966.000
554 , 966.000
555 , 966.000
556 , 966.000
557 , 966.000
558 , 966.000
559 , 966.000
560 , 966.000
561 , 966.000
562 , 966.000
563 , 966.000
564 , 966.000
565 , 966.000
566 , 966.000
567 , 966.000
568 , 966.000
569 , 966.000
570 , 966.000
571 , 966.000
572 , 966.000
573 , 966.000
574 , 966.000
575 , 966.000
576 , 966.000
577 , 966.000
578 , 966.000
579 , 966.000
580 , 966.000
581 , 966.000
582 , 966.000
583 , 966.000
584 , 966.000
585 , 966.000
586 , 966.000
587 , 966.000
588 , 966.000
589 , 966.000
590 , 966.000
591 , 966.000
592 , 966.000
593 , 966.000
594 , 966.000
595 , 966.000
596 , 966.000
597 , 966.000
598 , 966.000
599 , 966.000
600 , 966.000
601 , 966.000
602 , 966.000
603 , 966.000
604 , 966.000
605 , 966.000
606 , 966.000
607 , 966.000
608 , 966.000
609 , 966.000
610 , 966.000
611 , 966.000
612 , 966.000
613 , 966.000
614 , 966.000
615 , 966.000
616 , 966.000
617 , 966.000
618 , 966.000
619 , 966.000
620 , 966.000
621 , 966.000
622 , 966.000
623 , 966.000
624 , 966.000
625 , 966.000
626 , 966.000
627 , 966.000
628 , 966.000
629 , 966.000
630 , 966.000
631 , 966.000
632 , 966.000
633 , 966.000
634 , 966.000
635 , 966.000
636 , 966.000
637 , 966.000
638 , 966.000
639 , 966.000
640 , 966.000
641 , 966.000
642 , 966.000
643 , 966.000
644 , 966.000
645 , 966.000
646 , 966.000
647 , 966.000
648 , 966.000
649 , 966.000
650 , 966.000
651 , 966.000
652 , 966.000
653 , 966.000
654 , 966.000
655 , 966.000
656 , 966.000
657 , 966.000
658 , 966.000
659 , 966.000
660 , 966.000
661 , 966.000
662 , 966.000
663 , 966.000
664 , 966.000
665 , 966.000
666 , 966.000
667 , 966.000
668 , 966.000
669 , 966.000
670 , 966.000
671 , 966.000
672 , 966.000
673 , 966.000
674 , 966.000
675 , 966.000
676 , 966.000
677 , 966.000
678 , 966.000
679 , 966.000
680 , 966.000
681 , 966.000
682 , 966.000
683 , 966.000
684 , 966.000
685 , 966.000
686 , 966.000
687 , 966.000
688 , 966.000
689 , 966.000
690 , 966.000
691 , 966.000
692 , 966.000
693 , 966.000
694 , 966.000
695 , 966.000
696 , 966.000
697 , 966.000
698 , 966.000
699 , 966.000
700 , 966.000
701 , 966.000
702 , 966.000
703 , 966.000
704 , 966.000
705 , 966.000
706 , 966.000
707 , 966.000
708 , 966.000
709 , 966.000
710 , 966.000
711 , 966.000
712 , 966.000
713 , 966.000
714 , 966.000
715 , 966.000
716 , 966.000
717 , 966.000
718 , 966.000
719 , 966.000
720 , 966.000
721 , 966.000
722 , 966.000
723 , 966.000
724 , 966.000
725 , 966.000
726 , 966.000
727 , 966.000
728 , 966.000
729 , 966.000
730 , 966.000
731 , 966.000
732 , 966.000
733 , 966.000
734 , 966.000
735 , 966.000
736 , 966.000
737 , 966.000
738 , 966.000
739 , 966.000
740 , 966.000
741 , 966.000
742 , 966.000
743 , 966.000
744 , 966.000
745 , 966.000
746 , 966.000
747 , 966.000
748 , 966.000
749 , 966.000
750 , 966.000
751 , 966.000
752 , 966.000
753 , 966.000
754 , 966.000
755 , 966.000
756 , 966.000
757 , 966.000
758 , 966.000
759 , 966.000
760 , 966.000
761 , 966.000
762 , 966.000
763 , 966.000
764 , 966.000
765 , 966.000
766 , 966.000
767 , 966.000
768 , 966.000
769 , 966.000
770 , 966.000
771 , 966.000
772 , 966.000
773 , 966.000
774 , 966.000
775 , 966.000
776 , 966.000
777 , 966.000
778 , 966.000
779 , 966.000
780 , 966.000
781 , 966.000
782 , 966.000
783 , 966.000
784 , 966.000
785 , 966.000
786 , 966.000
787 , 966.000
788 , 966.000
789 , 966.000
790 , 966.000
791 , 966.000
792 , 966.000
793 , 966.000
794 , 966.000
795 , 966.000
796 , 966.000
797 , 966.000
798 , 966.000
799 , 966.000
800 , 966.000
801 , 966.000
802 , 966.000
803 , 966.000
804 , 966.000
805 , 966.000
806 , 966.000
807 , 966.000
808 , 966.000
809 , 966.000
810 , 966.000
811 , 966.000
812 , 966.000
813 , 966.000
814 , 966.000
815 , 966.000
816 , 966.000
817 , 966.000
818 , 966.000
819 , 966.000
820 , 966.000
821 , 966.000
822 , 966.000
823 , 966.000
824 , 966.000
825 , 966.000
826 , 966.000
827 , 966.000
828 , 966.000
829 , 966.000
830 , 966.000
831 , 966.000
832 , 966.000
833 , 966.000
834 , 966.000
835 , 966.000
836 , 966.000
837 , 966.000
838 , 966.000
839 , 966.000
840 , 966.000
841 , 966.000
842 , 966.000
843 , 966.000
844 , 966.000
845 , 966.000
846 , 966.000
847 , 966.000
848 , 966.000
849 , 966.000
850 , 966.000
851 , 966.000
852 , 966.000
853 , 966.000
854 , 966.000
855 , 966.000
856 , 966.000
857 , 966.000
858 , 966.000
859 , 966.000
860 , 966.000
861 , 966.000
862 , 966.000
863 , 966.000
864 , 966.000
865 , 966.000
866 , 966.000
867 , 966.000
868 , 966.000
869 , 966.000
870 , 966.000
871 , 966.000
872 , 966.000
873 , 966.000
874 , 966.000
875 , 966.000
876 , 966.000
877 , 966.000
878 , 966.000
879 , 966.000
880 , 966.000
881 , 966.000
882 , 966.000
883 , 966.000
884 , 966.000
885 , 966.000
886 , 966.000
887 , 966.000
888 , 966.000
889 , 966.000
890 , 966.000
891 , 966.000
892 , 966.000
893 , 966.000
894 , 966.000
895 , 966.000
896 , 966.000
897 , 966.000
898 , 966.000
899 , 966.000
900 , 966.000
901 , 966.000
902 , 966.000
903 , 966.000
904 , 966.000
905 , 966.000
906 , 966.000
907 , 966.000
908 , 966.000
909 , 966.000
910 , 966.000
911 , 966.000
912 , 966.000
913 , 966.000
914 , 966.000
915 , 966.000
916 , 966.000
917 , 966.000
918 , 966.000
919 , 966.000
920 , 966.000
921 , 966.000
922 , 966.000
923 , 966.000
924 , 966.000
925 , 966.000
926 , 966.000
927 , 966.000
928 , 966.000
929 , 966.000
930 , 966.000
931 , 966.000
932 , 966.000
933 , 966.000
934 , 966.000
935 , 966.000
936 , 966.000
937 , 966.000
938 , 966.000
939 , 966.000
940 , 966.000
941 , 966.000
942 , 966.000
943 , 966.000
944 , 966.000
945 , 966.000
946 , 966.000
947 , 966.000
948 , 966.000
949 , 966.000
950 , 966.000
951 , 966.000
952 , 966.000
953 , 966.000
954 , 966.000
955 , 966.000
956 , 966.000
957 , 966.000
958 , 966.000
959 , 966.000
960 , 966.000
961 , 966.000
962 , 966.000
963 , 966.000
964 , 966.000
965 , 966.000
966 , 966.000
967 , 966.000
968 , 966.000
969 , 966.000
970 , 966.000
971 , 966.000
972 , 966.000
973 , 966.000
974 , 966.000
975 , 966.000
976 , 966.000
