Generation,Fitness
1 , 72.000
2 , 298.000
3 , 298.000
4 , 298.000
5 , 298.000
6 , 298.000
7 , 322.000
8 , 322.000
9 , 322.000
10 , 322.000
11 , 346.000
12 , 346.000
13 , 346.000
14 , 346.000
15 , 346.000
16 , 346.000
17 , 346.000
18 , 346.000
19 , 346.000
20 , 346.000
21 , 346.000
22 , 346.000
23 , 346.000
24 , 346.000
25 , 346.000
26 , 346.000
27 , 346.000
28 , 346.000
29 , 346.000
30 , 346.000
31 , 346.000
32 , 346.000
33 , 346.000
34 , 346.000
35 , 346.000
36 , 346.000
37 , 346.000
38 , 346.000
39 , 346.000
40 , 346.000
41 , 346.000
42 , 346.000
43 , 346.000
44 , 346.000
45 , 346.000
46 , 346.000
47 , 346.000
48 , 346.000
49 , 346.000
50 , 346.000
51 , 346.000
52 , 346.000
53 , 346.000
54 , 346.000
55 , 346.000
56 , 346.000
57 , 346.000
58 , 346.000
59 , 346.000
60 , 346.000
61 , 346.000
62 , 346.000
63 , 346.000
64 , 346.000
65 , 346.000
66 , 346.000
67 , 346.000
68 , 346.000
69 , 346.000
70 , 346.000
71 , 346.000
72 , 346.000
73 , 346.000
74 , 346.000
75 , 346.000
76 , 346.000
77 , 346.000
78 , 346.000
79 , 346.000
80 , 346.000
81 , 394.000
82 , 394.000
83 , 394.000
84 , 394.000
85 , 394.000
86 , 394.000
87 , 394.000
88 , 394.000
89 , 394.000
90 , 394.000
91 , 394.000
92 , 394.000
93 , 394.000
94 , 394.000
95 , 394.000
96 , 394.000
97 , 394.000
98 , 394.000
99 , 394.000
100 , 394.000
101 , 394.000
102 , 394.000
103 , 394.000
104 , 394.000
105 , 394.000
106 , 394.000
107 , 394.000
108 , 394.000
109 , 394.000
110 , 394.000
111 , 394.000
112 , 394.000
113 , 394.000
114 , 394.000
115 , 394.000
116 , 394.000
117 , 394.000
118 , 394.000
119 , 394.000
120 , 442.000
121 , 442.000
122 , 442.000
123 , 442.000
124 , 442.000
125 , 442.000
126 , 442.000
127 , 442.000
128 , 442.000
129 , 442.000
130 , 442.000
131 , 442.000
132 , 442.000
133 , 442.000
134 , 442.000
135 , 442.000
136 , 442.000
137 , 442.000
138 , 442.000
139 , 442.000
140 , 442.000
141 , 442.000
142 , 442.000
143 , 442.000
144 , 442.000
145 , 442.000
146 , 442.000
147 , 442.000
148 , 442.000
149 , 442.000
150 , 442.000
151 , 442.000
152 , 442.000
153 , 442.000
154 , 442.000
155 , 442.000
156 , 442.000
157 , 442.000
158 , 442.000
159 , 442.000
160 , 442.000
161 , 442.000
162 , 442.000
163 , 442.000
164 , 442.000
165 , 442.000
166 , 442.000
167 , 442.000
168 , 442.000
169 , 442.000
170 , 442.000
171 , 442.000
172 , 442.000
173 , 442.000
174 , 442.000
175 , 442.000
176 , 442.000
177 , 442.000
178 , 442.000
179 , 442.000
180 , 442.000
181 , 442.000
182 , 442.000
183 , 442.000
184 , 442.000
185 , 442.000
186 , 442.000
187 , 442.000
188 , 442.000
189 , 442.000
190 , 442.000
191 , 442.000
192 , 442.000
193 , 442.000
194 , 442.000
195 , 442.000
196 , 442.000
197 , 442.000
198 , 442.000
199 , 442.000
200 , 442.000
201 , 442.000
202 , 442.000
203 , 442.000
204 , 442.000
205 , 442.000
206 , 442.000
207 , 442.000
208 , 442.000
209 , 442.000
210 , 442.000
211 , 442.000
212 , 442.000
213 , 442.000
214 , 442.000
215 , 442.000
216 , 442.000
217 , 442.000
218 , 442.000
219 , 442.000
220 , 442.000
221 , 442.000
222 , 442.000
223 , 442.000
224 , 442.000
225 , 442.000
226 , 442.000
227 , 442.000
228 , 442.000
229 , 442.000
230 , 442.000
231 , 442.000
232 , 442.000
233 , 442.000
234 , 442.000
235 , 442.000
236 , 644.000
237 , 644.000
238 , 644.000
239 , 644.000
240 , 644.000
241 , 644.000
242 , 644.000
243 , 644.000
244 , 644.000
245 , 644.000
246 , 644.000
247 , 644.000
248 , 644.000
249 , 644.000
250 , 644.000
251 , 644.000
252 , 644.000
253 , 644.000
254 , 644.000
255 , 644.000
256 , 858.000
257 , 858.000
258 , 858.000
259 , 858.000
260 , 858.000
261 , 858.000
262 , 858.000
263 , 858.000
264 , 858.000
265 , 858.000
266 , 858.000
267 , 858.000
268 , 858.000
269 , 858.000
270 , 858.000
271 , 858.000
272 , 858.000
273 , 858.000
274 , 858.000
275 , 858.000
276 , 858.000
277 , 858.000
278 , 858.000
279 , 858.000
280 , 858.000
281 , 858.000
282 , 858.000
283 , 858.000
