Generation,Fitness
1 , 48.000
2 , 96.000
3 , 108.000
4 , 108.000
5 , 120.000
6 , 120.000
7 , 120.000
8 , 120.000
9 , 120.000
10 , 120.000
11 , 120.000
12 , 120.000
13 , 120.000
14 , 120.000
15 , 120.000
16 , 298.000
17 , 298.000
18 , 298.000
19 , 298.000
20 , 298.000
21 , 298.000
22 , 298.000
23 , 298.000
24 , 298.000
25 , 298.000
26 , 298.000
27 , 298.000
28 , 298.000
29 , 298.000
30 , 298.000
31 , 298.000
32 , 298.000
33 , 298.000
34 , 298.000
35 , 298.000
36 , 298.000
37 , 298.000
38 , 298.000
39 , 298.000
40 , 298.000
41 , 298.000
42 , 298.000
43 , 298.000
44 , 298.000
45 , 298.000
46 , 298.000
47 , 298.000
48 , 298.000
49 , 298.000
50 , 298.000
51 , 298.000
52 , 298.000
53 , 298.000
54 , 298.000
55 , 298.000
56 , 298.000
57 , 298.000
58 , 298.000
59 , 298.000
60 , 298.000
61 , 298.000
62 , 298.000
63 , 358.000
64 , 358.000
65 , 358.000
66 , 358.000
67 , 358.000
68 , 358.000
69 , 358.000
70 , 358.000
71 , 358.000
72 , 358.000
73 , 358.000
74 , 358.000
75 , 358.000
76 , 358.000
77 , 358.000
78 , 358.000
79 , 490.000
80 , 490.000
81 , 490.000
82 , 490.000
83 , 490.000
84 , 490.000
85 , 490.000
86 , 490.000
87 , 490.000
88 , 490.000
89 , 490.000
90 , 490.000
91 , 490.000
92 , 490.000
93 , 490.000
94 , 490.000
95 , 490.000
96 , 490.000
97 , 490.000
98 , 490.000
99 , 490.000
100 , 490.000
101 , 490.000
102 , 490.000
103 , 490.000
104 , 490.000
105 , 490.000
106 , 490.000
107 , 490.000
108 , 490.000
109 , 490.000
110 , 490.000
111 , 490.000
112 , 490.000
113 , 490.000
114 , 490.000
115 , 490.000
116 , 490.000
117 , 490.000
118 , 490.000
119 , 490.000
120 , 490.000
121 , 490.000
122 , 490.000
123 , 490.000
124 , 490.000
125 , 490.000
126 , 490.000
127 , 490.000
128 , 490.000
129 , 490.000
130 , 490.000
131 , 490.000
132 , 490.000
133 , 490.000
134 , 490.000
135 , 490.000
136 , 490.000
137 , 490.000
138 , 490.000
139 , 490.000
140 , 490.000
141 , 490.000
142 , 490.000
143 , 490.000
144 , 490.000
145 , 490.000
146 , 490.000
147 , 490.000
148 , 490.000
149 , 490.000
150 , 490.000
151 , 490.000
152 , 490.000
153 , 490.000
154 , 490.000
155 , 490.000
156 , 490.000
157 , 490.000
158 , 490.000
159 , 490.000
160 , 490.000
161 , 490.000
162 , 490.000
163 , 490.000
164 , 490.000
165 , 490.000
166 , 490.000
167 , 490.000
168 , 490.000
169 , 490.000
170 , 490.000
171 , 490.000
172 , 490.000
173 , 490.000
174 , 490.000
175 , 490.000
176 , 490.000
177 , 490.000
178 , 490.000
179 , 490.000
180 , 490.000
181 , 490.000
182 , 490.000
183 , 490.000
184 , 490.000
185 , 490.000
186 , 490.000
187 , 490.000
188 , 490.000
189 , 490.000
190 , 490.000
191 , 490.000
192 , 490.000
193 , 490.000
194 , 490.000
195 , 490.000
196 , 490.000
197 , 490.000
198 , 490.000
199 , 490.000
200 , 490.000
201 , 490.000
202 , 490.000
203 , 490.000
204 , 490.000
205 , 490.000
206 , 490.000
207 , 490.000
208 , 490.000
209 , 490.000
210 , 490.000
211 , 490.000
212 , 490.000
213 , 490.000
214 , 490.000
215 , 490.000
216 , 490.000
217 , 490.000
218 , 490.000
219 , 490.000
220 , 490.000
221 , 490.000
222 , 490.000
223 , 490.000
224 , 490.000
225 , 490.000
226 , 490.000
227 , 490.000
228 , 490.000
229 , 490.000
230 , 490.000
231 , 490.000
232 , 490.000
233 , 490.000
234 , 490.000
235 , 490.000
236 , 490.000
237 , 490.000
238 , 490.000
239 , 490.000
240 , 490.000
241 , 490.000
242 , 490.000
243 , 490.000
244 , 490.000
245 , 490.000
246 , 490.000
247 , 490.000
248 , 490.000
249 , 490.000
250 , 490.000
251 , 490.000
252 , 490.000
253 , 490.000
254 , 490.000
255 , 490.000
256 , 490.000
257 , 490.000
258 , 490.000
259 , 490.000
260 , 490.000
261 , 490.000
262 , 490.000
263 , 490.000
264 , 490.000
265 , 490.000
266 , 490.000
267 , 490.000
268 , 490.000
269 , 490.000
270 , 490.000
271 , 490.000
272 , 490.000
273 , 490.000
274 , 490.000
275 , 490.000
276 , 490.000
277 , 490.000
278 , 490.000
279 , 490.000
280 , 490.000
281 , 490.000
282 , 490.000
283 , 490.000
284 , 490.000
285 , 490.000
286 , 490.000
287 , 490.000
288 , 490.000
289 , 490.000
290 , 490.000
291 , 490.000
292 , 490.000
293 , 490.000
294 , 490.000
295 , 490.000
296 , 490.000
297 , 490.000
298 , 490.000
299 , 490.000
300 , 490.000
301 , 490.000
302 , 490.000
303 , 490.000
304 , 490.000
305 , 490.000
306 , 490.000
307 , 490.000
308 , 490.000
309 , 490.000
310 , 490.000
311 , 490.000
312 , 490.000
313 , 490.000
314 , 490.000
315 , 490.000
316 , 490.000
317 , 490.000
318 , 490.000
319 , 490.000
320 , 490.000
321 , 490.000
322 , 490.000
323 , 490.000
324 , 490.000
325 , 490.000
326 , 490.000
327 , 490.000
328 , 490.000
329 , 490.000
330 , 490.000
331 , 490.000
332 , 490.000
333 , 490.000
334 , 490.000
335 , 490.000
336 , 490.000
337 , 490.000
338 , 490.000
339 , 490.000
340 , 490.000
341 , 490.000
342 , 490.000
343 , 490.000
344 , 490.000
345 , 490.000
346 , 490.000
347 , 490.000
348 , 490.000
349 , 490.000
350 , 490.000
351 , 490.000
352 , 490.000
353 , 490.000
354 , 490.000
355 , 490.000
356 , 490.000
357 , 490.000
358 , 490.000
359 , 490.000
360 , 490.000
361 , 490.000
362 , 490.000
363 , 490.000
364 , 490.000
365 , 490.000
366 , 490.000
367 , 490.000
368 , 490.000
369 , 490.000
370 , 490.000
371 , 490.000
372 , 490.000
373 , 490.000
374 , 490.000
375 , 490.000
376 , 490.000
377 , 490.000
378 , 490.000
379 , 490.000
380 , 490.000
381 , 490.000
382 , 490.000
383 , 490.000
384 , 490.000
385 , 490.000
386 , 490.000
387 , 490.000
388 , 490.000
389 , 490.000
390 , 490.000
391 , 490.000
392 , 490.000
393 , 490.000
394 , 490.000
395 , 490.000
396 , 490.000
397 , 490.000
398 , 490.000
399 , 490.000
400 , 490.000
401 , 490.000
402 , 490.000
403 , 490.000
404 , 490.000
405 , 490.000
406 , 490.000
407 , 490.000
408 , 490.000
409 , 490.000
410 , 490.000
411 , 490.000
412 , 490.000
413 , 490.000
414 , 490.000
415 , 490.000
416 , 490.000
417 , 490.000
418 , 490.000
419 , 490.000
420 , 490.000
421 , 490.000
422 , 490.000
423 , 490.000
424 , 490.000
425 , 490.000
426 , 490.000
427 , 490.000
428 , 490.000
429 , 490.000
430 , 490.000
431 , 490.000
432 , 490.000
433 , 490.000
434 , 490.000
435 , 490.000
436 , 490.000
437 , 490.000
438 , 490.000
439 , 490.000
440 , 490.000
441 , 490.000
442 , 490.000
443 , 490.000
444 , 490.000
445 , 490.000
446 , 490.000
447 , 490.000
448 , 490.000
449 , 490.000
450 , 490.000
451 , 490.000
452 , 490.000
453 , 490.000
454 , 490.000
455 , 490.000
456 , 490.000
457 , 490.000
458 , 490.000
459 , 490.000
460 , 490.000
461 , 490.000
462 , 490.000
463 , 490.000
464 , 490.000
465 , 490.000
466 , 490.000
467 , 490.000
468 , 490.000
469 , 490.000
470 , 490.000
471 , 490.000
472 , 490.000
473 , 490.000
474 , 490.000
475 , 490.000
476 , 490.000
477 , 490.000
478 , 490.000
479 , 490.000
480 , 490.000
481 , 490.000
482 , 490.000
483 , 490.000
484 , 490.000
485 , 490.000
486 , 490.000
487 , 490.000
488 , 490.000
489 , 490.000
490 , 490.000
491 , 490.000
492 , 490.000
493 , 490.000
494 , 490.000
495 , 490.000
496 , 490.000
497 , 490.000
498 , 490.000
499 , 490.000
500 , 490.000
501 , 490.000
502 , 490.000
503 , 490.000
504 , 490.000
505 , 490.000
506 , 490.000
507 , 490.000
508 , 490.000
509 , 490.000
510 , 490.000
511 , 490.000
512 , 490.000
513 , 490.000
514 , 490.000
515 , 490.000
516 , 490.000
517 , 490.000
518 , 490.000
519 , 490.000
520 , 490.000
521 , 490.000
522 , 490.000
523 , 490.000
524 , 490.000
525 , 490.000
526 , 490.000
527 , 490.000
528 , 490.000
529 , 490.000
530 , 490.000
531 , 490.000
532 , 490.000
533 , 490.000
534 , 490.000
535 , 490.000
536 , 490.000
537 , 490.000
538 , 490.000
539 , 490.000
540 , 490.000
541 , 490.000
542 , 490.000
543 , 490.000
544 , 490.000
545 , 490.000
546 , 490.000
547 , 490.000
548 , 490.000
549 , 490.000
550 , 490.000
551 , 490.000
552 , 490.000
553 , 490.000
554 , 490.000
555 , 490.000
556 , 490.000
557 , 490.000
558 , 490.000
559 , 490.000
560 , 490.000
561 , 490.000
562 , 490.000
563 , 490.000
564 , 490.000
565 , 490.000
566 , 490.000
567 , 490.000
568 , 490.000
569 , 490.000
570 , 490.000
571 , 490.000
572 , 490.000
573 , 490.000
574 , 490.000
575 , 490.000
576 , 490.000
577 , 490.000
578 , 490.000
579 , 490.000
580 , 490.000
581 , 490.000
582 , 490.000
583 , 490.000
584 , 490.000
585 , 490.000
586 , 490.000
587 , 490.000
588 , 490.000
589 , 490.000
590 , 918.000
591 , 918.000
592 , 918.000
593 , 918.000
594 , 918.000
595 , 918.000
596 , 918.000
597 , 918.000
598 , 918.000
599 , 918.000
600 , 918.000
601 , 918.000
602 , 918.000
603 , 918.000
604 , 918.000
605 , 918.000
606 , 918.000
607 , 918.000
608 , 918.000
609 , 918.000
610 , 918.000
611 , 918.000
612 , 918.000
613 , 918.000
614 , 918.000
615 , 918.000
616 , 918.000
617 , 918.000
618 , 918.000
619 , 918.000
620 , 918.000
621 , 918.000
622 , 918.000
623 , 918.000
624 , 918.000
625 , 918.000
626 , 918.000
627 , 918.000
628 , 918.000
629 , 918.000
630 , 918.000
631 , 918.000
632 , 918.000
633 , 918.000
634 , 918.000
635 , 918.000
636 , 918.000
637 , 918.000
638 , 918.000
639 , 918.000
640 , 918.000
641 , 918.000
642 , 918.000
643 , 918.000
644 , 918.000
645 , 918.000
646 , 918.000
647 , 918.000
648 , 918.000
649 , 918.000
650 , 918.000
651 , 918.000
652 , 918.000
653 , 918.000
654 , 918.000
655 , 918.000
656 , 918.000
657 , 918.000
658 , 918.000
659 , 918.000
660 , 918.000
661 , 918.000
662 , 918.000
663 , 918.000
664 , 918.000
665 , 918.000
666 , 918.000
667 , 918.000
668 , 918.000
669 , 918.000
670 , 918.000
671 , 918.000
672 , 918.000
673 , 918.000
674 , 918.000
675 , 918.000
676 , 918.000
677 , 918.000
678 , 918.000
679 , 918.000
680 , 918.000
681 , 918.000
682 , 918.000
683 , 918.000
684 , 918.000
685 , 918.000
686 , 918.000
687 , 918.000
688 , 918.000
689 , 918.000
690 , 918.000
691 , 918.000
692 , 918.000
693 , 918.000
694 , 918.000
695 , 918.000
696 , 918.000
697 , 918.000
698 , 918.000
699 , 918.000
700 , 918.000
701 , 918.000
702 , 918.000
703 , 918.000
704 , 918.000
705 , 918.000
706 , 918.000
707 , 918.000
708 , 918.000
709 , 918.000
710 , 918.000
711 , 918.000
712 , 918.000
713 , 918.000
714 , 918.000
715 , 918.000
716 , 918.000
717 , 918.000
718 , 918.000
719 , 918.000
720 , 918.000
721 , 918.000
722 , 918.000
723 , 918.000
724 , 918.000
725 , 918.000
726 , 918.000
727 , 918.000
728 , 918.000
729 , 918.000
730 , 918.000
731 , 918.000
732 , 918.000
733 , 918.000
734 , 918.000
735 , 918.000
736 , 918.000
737 , 918.000
738 , 918.000
739 , 918.000
740 , 918.000
741 , 918.000
742 , 918.000
743 , 918.000
744 , 918.000
745 , 918.000
746 , 918.000
747 , 918.000
748 , 918.000
749 , 918.000
750 , 918.000
751 , 918.000
752 , 918.000
753 , 918.000
754 , 918.000
755 , 918.000
756 , 918.000
757 , 918.000
758 , 918.000
759 , 918.000
760 , 918.000
761 , 918.000
762 , 918.000
763 , 918.000
764 , 918.000
765 , 918.000
766 , 918.000
767 , 918.000
768 , 918.000
769 , 918.000
770 , 918.000
771 , 918.000
772 , 918.000
773 , 918.000
774 , 918.000
775 , 918.000
776 , 918.000
777 , 918.000
778 , 918.000
779 , 918.000
780 , 918.000
781 , 918.000
782 , 918.000
783 , 918.000
784 , 918.000
785 , 918.000
786 , 918.000
787 , 918.000
788 , 918.000
789 , 918.000
790 , 918.000
791 , 918.000
792 , 918.000
793 , 918.000
794 , 918.000
795 , 918.000
796 , 918.000
797 , 918.000
798 , 918.000
799 , 918.000
800 , 918.000
801 , 918.000
802 , 918.000
803 , 918.000
804 , 918.000
805 , 918.000
806 , 918.000
807 , 918.000
808 , 918.000
809 , 918.000
810 , 918.000
811 , 918.000
812 , 918.000
813 , 918.000
814 , 918.000
815 , 918.000
816 , 918.000
817 , 918.000
818 , 918.000
819 , 918.000
820 , 918.000
821 , 918.000
822 , 918.000
823 , 918.000
824 , 918.000
825 , 918.000
826 , 918.000
827 , 918.000
