Generation,Fitness
1 , 24.000
2 , 48.000
3 , 48.000
4 , 72.000
5 , 72.000
6 , 72.000
7 , 96.000
8 , 96.000
9 , 96.000
10 , 96.000
11 , 96.000
12 , 120.000
13 , 120.000
14 , 120.000
15 , 120.000
16 , 120.000
17 , 120.000
18 , 120.000
19 , 120.000
20 , 120.000
21 , 120.000
22 , 120.000
23 , 120.000
24 , 120.000
25 , 120.000
26 , 120.000
27 , 120.000
28 , 120.000
29 , 120.000
30 , 120.000
31 , 120.000
32 , 322.000
33 , 322.000
34 , 322.000
35 , 322.000
36 , 322.000
37 , 322.000
38 , 322.000
39 , 322.000
40 , 322.000
41 , 322.000
42 , 322.000
43 , 322.000
44 , 322.000
45 , 322.000
46 , 322.000
47 , 322.000
48 , 322.000
49 , 322.000
50 , 322.000
51 , 322.000
52 , 322.000
53 , 322.000
54 , 322.000
55 , 322.000
56 , 322.000
57 , 322.000
58 , 322.000
59 , 322.000
60 , 322.000
61 , 322.000
62 , 322.000
63 , 322.000
64 , 322.000
65 , 322.000
66 , 322.000
67 , 322.000
68 , 322.000
69 , 322.000
70 , 322.000
71 , 322.000
72 , 322.000
73 , 322.000
74 , 322.000
75 , 322.000
76 , 322.000
77 , 322.000
78 , 322.000
79 , 322.000
80 , 322.000
81 , 322.000
82 , 322.000
83 , 322.000
84 , 322.000
85 , 322.000
86 , 322.000
87 , 322.000
88 , 322.000
89 , 322.000
90 , 322.000
91 , 322.000
92 , 322.000
93 , 322.000
94 , 322.000
95 , 322.000
96 , 322.000
97 , 322.000
98 , 322.000
99 , 322.000
100 , 322.000
101 , 322.000
102 , 322.000
103 , 322.000
104 , 322.000
105 , 322.000
106 , 322.000
107 , 322.000
108 , 322.000
109 , 322.000
110 , 322.000
111 , 322.000
112 , 322.000
113 , 322.000
114 , 322.000
115 , 322.000
116 , 322.000
117 , 322.000
118 , 322.000
119 , 322.000
120 , 322.000
121 , 322.000
122 , 322.000
123 , 322.000
124 , 322.000
125 , 322.000
126 , 322.000
127 , 322.000
128 , 322.000
129 , 322.000
130 , 322.000
131 , 322.000
132 , 322.000
133 , 322.000
134 , 322.000
135 , 322.000
136 , 322.000
137 , 322.000
138 , 322.000
139 , 322.000
140 , 322.000
141 , 322.000
142 , 322.000
143 , 322.000
144 , 322.000
145 , 322.000
146 , 322.000
147 , 322.000
148 , 322.000
