Generation,Fitness
1 , 48.000
2 , 48.000
3 , 96.000
4 , 168.000
5 , 168.000
6 , 168.000
7 , 168.000
8 , 192.000
9 , 192.000
10 , 192.000
11 , 192.000
12 , 192.000
13 , 192.000
14 , 192.000
15 , 286.000
16 , 286.000
17 , 286.000
18 , 286.000
19 , 286.000
20 , 286.000
21 , 286.000
22 , 286.000
23 , 286.000
24 , 286.000
25 , 286.000
26 , 286.000
27 , 286.000
28 , 286.000
29 , 286.000
30 , 286.000
31 , 286.000
32 , 286.000
33 , 286.000
34 , 286.000
35 , 524.000
36 , 524.000
37 , 524.000
38 , 524.000
39 , 644.000
40 , 644.000
41 , 644.000
42 , 644.000
43 , 644.000
44 , 644.000
45 , 644.000
46 , 644.000
47 , 644.000
48 , 644.000
49 , 644.000
50 , 644.000
51 , 644.000
52 , 644.000
53 , 644.000
54 , 644.000
55 , 644.000
56 , 644.000
57 , 644.000
58 , 644.000
59 , 644.000
60 , 644.000
61 , 644.000
62 , 644.000
63 , 644.000
64 , 644.000
65 , 644.000
66 , 644.000
67 , 644.000
68 , 644.000
69 , 644.000
70 , 644.000
71 , 644.000
72 , 644.000
73 , 644.000
74 , 644.000
75 , 644.000
76 , 644.000
77 , 644.000
78 , 644.000
79 , 644.000
80 , 644.000
81 , 644.000
82 , 644.000
83 , 644.000
84 , 644.000
85 , 644.000
86 , 644.000
87 , 644.000
88 , 644.000
89 , 644.000
90 , 644.000
91 , 644.000
92 , 644.000
93 , 644.000
94 , 644.000
95 , 644.000
96 , 644.000
97 , 644.000
98 , 644.000
99 , 644.000
100 , 644.000
101 , 644.000
102 , 644.000
103 , 644.000
104 , 644.000
105 , 644.000
106 , 644.000
107 , 644.000
108 , 644.000
109 , 644.000
110 , 644.000
111 , 644.000
112 , 644.000
113 , 644.000
114 , 644.000
115 , 644.000
116 , 644.000
117 , 644.000
118 , 644.000
119 , 644.000
120 , 644.000
121 , 644.000
122 , 644.000
123 , 644.000
124 , 644.000
125 , 644.000
126 , 644.000
127 , 644.000
128 , 644.000
129 , 644.000
130 , 644.000
131 , 644.000
132 , 644.000
133 , 644.000
134 , 644.000
135 , 644.000
136 , 644.000
137 , 644.000
138 , 644.000
139 , 644.000
140 , 644.000
141 , 644.000
142 , 644.000
143 , 644.000
144 , 644.000
145 , 644.000
146 , 644.000
147 , 644.000
148 , 644.000
149 , 644.000
150 , 644.000
151 , 644.000
152 , 644.000
153 , 644.000
154 , 644.000
155 , 644.000
156 , 644.000
157 , 644.000
158 , 644.000
159 , 644.000
160 , 644.000
161 , 644.000
162 , 644.000
163 , 644.000
164 , 644.000
165 , 644.000
166 , 644.000
167 , 644.000
168 , 644.000
169 , 644.000
170 , 644.000
171 , 644.000
172 , 644.000
173 , 644.000
174 , 644.000
175 , 644.000
176 , 644.000
177 , 644.000
178 , 644.000
179 , 644.000
180 , 644.000
